f=775.170000, dc=829.340000, amp=0.350000, phase=1.130000
f=775.330000, dc=829.220000, amp=0.310000, phase=0.980000
f=775.660000, dc=829.240000, amp=0.350000, phase=1.110000
f=775.820000, dc=829.040000, amp=0.300000, phase=1.070000
f=775.980000, dc=829.340000, amp=0.260000, phase=0.930000
f=776.140000, dc=829.390000, amp=0.350000, phase=1.070000
f=776.470000, dc=829.260000, amp=0.370000, phase=1.150000
f=776.630000, dc=829.180000, amp=0.320000, phase=1.150000
f=776.800000, dc=829.260000, amp=0.310000, phase=1.050000
f=776.960000, dc=829.110000, amp=0.340000, phase=1.110000
f=777.120000, dc=829.200000, amp=0.300000, phase=1.180000
f=777.450000, dc=829.150000, amp=0.330000, phase=1.100000
f=777.610000, dc=829.150000, amp=0.360000, phase=1.100000
f=777.780000, dc=829.240000, amp=0.320000, phase=1.120000
f=777.940000, dc=829.340000, amp=0.350000, phase=1.050000
f=778.270000, dc=829.020000, amp=0.340000, phase=1.170000
f=778.430000, dc=829.270000, amp=0.350000, phase=1.090000
f=778.600000, dc=829.210000, amp=0.340000, phase=1.120000
f=778.760000, dc=829.130000, amp=0.350000, phase=1.120000
f=778.930000, dc=829.190000, amp=0.350000, phase=1.070000
f=779.250000, dc=829.080000, amp=0.370000, phase=1.080000
f=779.420000, dc=829.210000, amp=0.380000, phase=1.120000
f=779.580000, dc=829.140000, amp=0.330000, phase=1.090000
f=779.750000, dc=829.250000, amp=0.360000, phase=1.140000
f=780.000000, dc=829.090000, amp=0.370000, phase=1.160000
f=780.160000, dc=829.050000, amp=0.390000, phase=1.100000
f=780.330000, dc=829.220000, amp=0.380000, phase=1.080000
f=780.650000, dc=829.090000, amp=0.380000, phase=1.070000
f=780.810000, dc=829.170000, amp=0.360000, phase=1.140000
f=780.980000, dc=829.080000, amp=0.380000, phase=1.070000
f=781.140000, dc=829.320000, amp=0.380000, phase=1.080000
f=781.470000, dc=828.960000, amp=0.380000, phase=1.110000
f=781.630000, dc=829.200000, amp=0.380000, phase=1.060000
f=781.790000, dc=829.280000, amp=0.370000, phase=1.150000
f=781.950000, dc=829.180000, amp=0.370000, phase=1.110000
f=782.280000, dc=829.070000, amp=0.380000, phase=1.100000
f=782.450000, dc=828.930000, amp=0.370000, phase=1.170000
f=782.610000, dc=829.120000, amp=0.390000, phase=1.230000
f=782.770000, dc=828.980000, amp=0.440000, phase=1.120000
f=782.940000, dc=829.160000, amp=0.370000, phase=1.110000
f=783.260000, dc=829.130000, amp=0.400000, phase=1.160000
f=783.430000, dc=829.000000, amp=0.350000, phase=1.080000
f=783.590000, dc=829.300000, amp=0.360000, phase=1.060000
f=783.760000, dc=829.250000, amp=0.390000, phase=1.120000
f=783.920000, dc=829.140000, amp=0.380000, phase=1.110000
f=784.250000, dc=829.000000, amp=0.370000, phase=1.070000
f=784.410000, dc=829.170000, amp=0.400000, phase=1.110000
f=784.580000, dc=828.950000, amp=0.400000, phase=1.160000
f=784.740000, dc=829.220000, amp=0.430000, phase=0.980000
f=785.070000, dc=829.140000, amp=0.400000, phase=1.020000
f=785.230000, dc=829.160000, amp=0.370000, phase=1.060000
f=785.400000, dc=829.080000, amp=0.400000, phase=1.020000
f=785.560000, dc=829.120000, amp=0.430000, phase=1.130000
f=785.730000, dc=829.070000, amp=0.410000, phase=1.090000
f=786.060000, dc=829.070000, amp=0.400000, phase=1.150000
f=786.220000, dc=829.150000, amp=0.400000, phase=1.120000
f=786.390000, dc=828.970000, amp=0.420000, phase=1.120000
f=786.550000, dc=829.070000, amp=0.430000, phase=1.050000
f=786.720000, dc=829.060000, amp=0.440000, phase=1.080000
f=787.050000, dc=829.020000, amp=0.390000, phase=1.120000
f=787.220000, dc=829.070000, amp=0.470000, phase=1.170000
f=787.380000, dc=829.010000, amp=0.430000, phase=1.020000
f=787.550000, dc=828.970000, amp=0.470000, phase=1.280000
f=787.880000, dc=828.960000, amp=0.420000, phase=1.180000
f=788.040000, dc=829.020000, amp=0.400000, phase=1.180000
f=788.210000, dc=829.080000, amp=0.450000, phase=1.110000
f=788.380000, dc=829.160000, amp=0.440000, phase=1.120000
f=788.540000, dc=829.150000, amp=0.460000, phase=1.030000
f=788.870000, dc=829.080000, amp=0.410000, phase=1.100000
f=789.040000, dc=829.140000, amp=0.420000, phase=1.140000
f=789.210000, dc=829.130000, amp=0.450000, phase=1.150000
f=789.370000, dc=828.880000, amp=0.440000, phase=1.100000
f=789.540000, dc=829.040000, amp=0.440000, phase=1.050000
f=789.870000, dc=828.920000, amp=0.460000, phase=1.060000
f=790.000000, dc=829.050000, amp=0.460000, phase=1.150000
f=790.160000, dc=829.060000, amp=0.430000, phase=1.160000
f=790.330000, dc=829.060000, amp=0.460000, phase=1.090000
